发货时间,订单号,物流公司,运单号,包裹状态
2025-02-10 16:04:49,250210-009542069773559,中通快递,78481516084136	,转运中
2025-02-10 16:04:49,250209-017259579013278,中通快递,78481516066944	,转运中
2025-02-10 16:03:59,250210-345453443360164,中通快递,78481516074912	,转运中
2025-02-10 16:02:40,250210-515951838810997,中通快递,78481513364470	,转运中
2025-02-10 16:02:21,250210-649750178160323,中通快递,78481513343475	,转运中
2025-02-10 16:02:21,250210-596188864142061,中通快递,78481513364467	,转运中
2025-02-10 16:02:21,250210-390426816010935,中通快递,78481513343301	,转运中
2025-02-10 16:02:21,250210-306152794480323,中通快递,78481513343475	,转运中
2025-02-10 16:02:21,250210-197782412881461,中通快递,78481513351316	,转运中
2025-02-10 16:02:21,250210-084955645521461,中通快递,78481513351316	,转运中
2025-02-10 16:01:28,250209-211739011510531,中通快递,78481513364375	,转运中
2025-02-10 16:01:28,250209-030954013110531,中通快递,78481513364375	,转运中
2025-02-10 16:01:04,250209-260455810691543,中通快递,78481555757383	,转运中
2025-02-10 16:01:03,250209-535287600771543,中通快递,78481555757383	,转运中
2025-02-10 16:01:03,250209-395606761072446,中通快递,78481555758380	,转运中
2025-02-10 16:01:03,250209-223420106242635,中通快递,78481555763816	,转运中
2025-02-10 15:47:52,250210-196220065282380,韵达快递,464171865068474	,转运中
2025-02-10 15:47:51,250209-649257337251094,韵达快递,464171865099713	,转运中
2025-02-10 15:31:13,250210-565539029322712,中通快递,78481513343434	,转运中
2025-02-10 15:31:00,250210-365376356701045,中通快递,78481513343143	,转运中
2025-02-10 15:31:00,250210-316114256260114,中通快递,78481513364283	,转运中
2025-02-10 15:31:00,250210-182913646951949,中通快递,78481513343327	,已揽件
2025-02-10 15:30:59,250210-571222269483737,中通快递,78481513364347	,转运中
2025-02-10 15:30:59,250210-543476968961588,中通快递,78481513351676	,转运中
2025-02-10 15:30:59,250210-359535808890466,中通快递,78481513343256	,转运中
2025-02-10 15:30:59,250210-304632327701081,中通快递,78481513351627	,转运中
2025-02-10 15:30:59,250210-265268764193415,中通快递,78481513343355	,转运中
2025-02-10 15:30:59,250210-170519488943044,中通快递,78481513351601	,转运中
2025-02-10 15:30:59,250209-311123013263567,中通快递,78481513364135	,转运中
2025-02-10 15:30:18,250210-378630377762043,中通快递,78481513343235	,转运中
2025-02-10 15:30:18,250210-225014004000517,中通快递,78481513351630	,转运中
2025-02-10 15:30:18,250210-118027764032480,中通快递,78481513343248	,转运中
2025-02-10 15:30:18,250209-594490181203787,中通快递,78481513351323	,转运中
2025-02-10 15:30:18,250209-583931062611206,中通快递,78481513364587	,转运中
